Program,Distributions,Amount,Beneficiaries,Households,"Budget Utilization"
"COVID-19 Financial Assistance",26,"₱130,000.00",24,13,2.6%
"Pantawid Pamilyang Pilipino Program",4,"₱12,000.00",4,4,0.3%
"Food Subsidy Program",0,₱0.00,0,0,0%
"Senior Citizen Pension",0,₱0.00,0,0,0%
"Educational Assistance",1,"₱3,000.00",1,1,0.3%
"Healthcare Support Program",0,₱0.00,0,0,0%
"PWD Support Package",0,₱0.00,0,0,0%
"Disaster Relief Assistance",0,₱0.00,0,0,0%
"Farmers Assistance Program",0,₱0.00,0,0,0%
"Solo Parent Support",0,₱0.00,0,0,0%
"COVID-19 First Wave Response",0,₱0.00,0,0,0%
"Community Development Fund",0,₱0.00,0,0,0%
