Name,"Household ID","Distributions Count","Total Received",Programs,Demographics
N/A,HH-202503-0002,2,"₱8,000.00","COVID-19 Financial Assistance, Educational Assistance",
N/A,HH-202503-0150,3,"₱15,000.00","COVID-19 Financial Assistance",
N/A,HH-202503-0051,1,"₱5,000.00","COVID-19 Financial Assistance",Indigenous
N/A,HH-202503-0076,1,"₱5,000.00","COVID-19 Financial Assistance",
N/A,HH-202503-0076,1,"₱5,000.00","COVID-19 Financial Assistance","Senior Citizen"
N/A,HH-202503-0076,1,"₱5,000.00","COVID-19 Financial Assistance","Senior Citizen, PWD"
N/A,HH-202503-0096,1,"₱5,000.00","COVID-19 Financial Assistance",
N/A,HH-202503-0104,1,"₱5,000.00","COVID-19 Financial Assistance",
N/A,HH-202503-0104,1,"₱5,000.00","COVID-19 Financial Assistance",
N/A,HH-202503-0146,1,"₱5,000.00","COVID-19 Financial Assistance",Indigenous
N/A,HH-202503-0006,2,"₱8,000.00","Pantawid Pamilyang Pilipino Program, COVID-19 Financial Assistance","Senior Citizen, PWD"
N/A,HH-202503-0079,1,"₱3,000.00","Pantawid Pamilyang Pilipino Program","Senior Citizen, PWD"
N/A,HH-202503-0105,2,"₱8,000.00","Pantawid Pamilyang Pilipino Program, COVID-19 Financial Assistance","Senior Citizen, PWD"
N/A,HH-202503-0125,2,"₱8,000.00","Pantawid Pamilyang Pilipino Program, COVID-19 Financial Assistance","Senior Citizen, PWD, Indigenous"
N/A,HH-202503-0001,1,"₱5,000.00","COVID-19 Financial Assistance","Indigenous, 4Ps"
